epoch (ms);Accelerometer_x;Accelerometer_y;Accelerometer_z;Gyroscope_x;Gyroscope_y;Gyroscope_z;Participants;Label;Category;Set
2019-01-11 15:08:19.000;-0.26949999999999996;0.92;-0.16649999999999998;12.317;maalis.68;19.8904;B;bench;heavy;30
11.1.2019 15:08;-0.25633333333333336;0.9653333333333333;-0.18866666666666668;-6.4876000000000005;-1.1218;kesä.02;B;bench;heavy;30
11.1.2019 15:08;-0.191;1.0314999999999999;-0.174;-18.5854;-13.158600000000002;29.024400000000004;B;bench;heavy;30
11.1.2019 15:08;-0.08866666666666667;0.7876666666666666;-0.09633333333333334;-30.0122;6.0732;22.0246;B;bench;heavy;30
11.1.2019 15:08;-0.019;0.865;-0.015;20.1832;-2.7318;1.0852000000000002;B;bench;heavy;30
2019-01-11 15:08:20.000;-0.06233333333333333;1.0136666666666667;-0.059666666666666666;-4.1096;-0.10959999999999973;0.5121999999999998;B;bench;heavy;30
11.1.2019 15:08;-0.054;0.9815;-0.078;maalis.36;-3.9756;4.634;B;bench;heavy;30
11.1.2019 15:08;-0.03866666666666667;0.9563333333333333;-0.059;-1.3048000000000002;-1.6463999999999999;0.1951999999999999;B;bench;heavy;30
11.1.2019 15:08;-0.0375;0.9874999999999999;-0.051500000000000004;tammi.46;-2.7927999999999997;-0.06099999999999994;B;bench;heavy;30
11.1.2019 15:08;-0.044000000000000004;0.9686666666666666;-0.06266666666666666;3.4143999999999997;-2.9632;-0.8536000000000001;B;bench;heavy;30
2019-01-11 15:08:21.000;-0.045;0.9815;-0.052500000000000005;-0.12179999999999983;-3.4512;1.866;B;bench;heavy;30
11.1.2019 15:08;-0.04533333333333334;0.9586666666666667;-0.062;0.20739999999999995;-3.4512;-0.7071999999999999;B;bench;heavy;30
11.1.2019 15:08;-0.051;0.979;-0.0605;tammi.32;-2.0366;0.317;B;bench;heavy;30
11.1.2019 15:08;-0.050333333333333334;0.976;-0.056666666666666664;0.20760000000000006;-2.866;0.9756;B;bench;heavy;30
11.1.2019 15:08;-0.034;0.9365;-0.056;touko.22;-2.378;0.39039999999999997;B;bench;heavy;30
2019-01-11 15:08:22.000;-0.052333333333333336;0.9803333333333333;-0.08600000000000001;-1.8782;-1.6705999999999999;0.15839999999999987;B;bench;heavy;30
11.1.2019 15:10;0.0036666666666666666;0.9663333333333334;-0.081;tammi.12;-4.7806;-2.5608;A;bench;heavy;86
11.1.2019 15:10;-0.0125;0.9624999999999999;-0.089;2.195;-2.1096;-2.8538;A;bench;heavy;86
11.1.2019 15:10;-0.028;0.867;-0.125;9.524600000000001;-2.8289999999999997;-11.1828;A;bench;heavy;86
2019-01-11 15:10:09.000;-0.062;0.873;-0.15500000000000003;16.5608;-4.4268;-13.0368;A;bench;heavy;86
11.1.2019 15:10;-0.09666666666666666;0.9043333333333333;-0.169;heinä.52;-11.8538;-3.0363999999999995;A;bench;heavy;86
11.1.2019 15:10;-0.11549999999999999;0.963;-0.1765;-1.5486;-13.9268;heinä.56;A;bench;heavy;86
11.1.2019 15:10;-0.10433333333333333;1.marras;-0.14033333333333334;-10.3658;-12.9512;12.634;A;bench;heavy;86
11.1.2019 15:10;-0.1565;1.323;-0.139;-4.4878;elo.72;-20.4146;A;bench;heavy;86
2019-01-11 15:10:10.000;-0.152;0.9333333333333332;-0.13033333333333333;6.1708;syys.68;-8.256;A;bench;heavy;86
11.1.2019 15:10;-0.158;0.9430000000000001;-0.1205;tammi.98;helmi.14;helmi.94;A;bench;heavy;86
11.1.2019 15:10;-0.131;0.9506666666666667;-0.14966666666666667;-2.4024;-0.7804;10.touko;A;bench;heavy;86
11.1.2019 15:10;-0.0995;0.9524999999999999;-0.1195;-8.9388;-0.28060000000000007;22.1584;A;bench;heavy;86
11.1.2019 15:10;-0.027333333333333334;0.848;-0.11433333333333333;-9.195;7.0854;22.0854;A;bench;heavy;86
2019-01-11 15:10:11.000;0.018000000000000002;0.925;-0.11699999999999999;syys.36;-7.8782;-3.6339999999999995;A;bench;heavy;86
11.1.2019 15:10;0.007666666666666666;0.9546666666666667;-0.127;touko.38;-4.122;-5.195;A;bench;heavy;86
11.1.2019 15:10;-0.0075;0.8915;-0.1545;10.touko;-3.4024;-11.8416;A;bench;heavy;86
11.1.2019 15:10;-0.06033333333333333;0.8276666666666667;-0.18666666666666668;17.7804;-5.1462;-14.5244;A;bench;heavy;86
11.1.2019 15:10;-0.111;0.895;-0.215;9.0852;-7.8658;-4.0244;A;bench;heavy;86
2019-01-11 15:10:12.000;-0.11466666666666665;0.9226666666666666;-0.19966666666666666;-9.2928;-19.0854;marras.12;A;bench;heavy;86
11.1.2019 15:10;-0.1015;1.325;-0.16399999999999998;-4.9756;-5.9512;maalis.02;A;bench;heavy;86
