Aika_ms,KokonaisG,DynaaminenG,SisainenNopeus,BLE_Nopeus
BLE connected -> ACTIVE MODE
78927,0.971,-1.014,-0.500,0.000
78948,0.951,-1.024,-0.500,0.000
78968,0.996,-0.964,-0.500,0.000
78988,1.012,-0.975,-0.500,0.000
79008,0.968,-1.023,-0.500,0.000
79029,0.954,-1.022,-0.500,0.000
79049,0.950,-0.983,-0.500,0.000
79069,0.940,-0.921,-0.500,0.000
79089,0.932,-0.855,-0.500,0.000
79110,1.026,-0.831,-0.500,0.000
79130,1.085,-0.852,-0.500,0.000
79150,1.105,-0.851,-0.500,0.000
79170,1.126,-0.815,-0.500,0.000
79191,1.028,-0.854,-0.500,0.000
79211,0.905,-0.938,-0.500,0.000
79231,0.851,-0.909,-0.500,0.000
79251,0.887,-0.878,-0.500,0.000
79272,0.934,-0.920,-0.500,0.000
79292,0.961,-0.922,-0.500,0.000
79312,1.012,-0.880,-0.500,0.000
79332,0.931,-0.928,-0.500,0.000
79353,0.852,-0.947,-0.500,0.000
79373,0.918,-0.900,-0.500,0.000
79393,0.897,-0.920,-0.500,0.000
79413,0.855,-0.953,-0.500,0.000
79434,0.785,-0.930,-0.500,0.000
79454,0.763,-0.894,-0.500,0.000
79474,0.803,-0.927,-0.500,0.000
79494,0.910,-0.883,-0.500,0.000
79515,1.066,-0.817,-0.500,0.000
79535,1.120,-0.757,-0.500,0.000
79555,0.995,-0.730,-0.500,0.000
79575,0.922,-0.699,-0.500,0.000
79596,1.002,-0.597,-0.500,0.000
79616,1.325,-0.425,-0.496,0.000
79636,1.592,-0.384,-0.486,0.000
79656,1.309,-0.525,-0.500,0.000
79677,0.944,-0.677,-0.500,0.000
79697,0.926,-0.662,-0.500,0.000
79717,0.999,-0.595,-0.500,0.000
79737,1.105,-0.567,-0.500,0.000
79758,1.095,-0.561,-0.500,0.000
79778,1.248,-0.558,-0.500,0.000
79798,1.325,-0.606,-0.500,0.000
79818,1.375,-0.482,-0.500,0.000
79839,1.369,-0.304,-0.478,0.000
79859,1.213,-0.439,-0.480,0.000
79879,0.865,-0.792,-0.500,0.000
79899,0.637,-0.788,-0.500,0.000
79920,0.909,-0.561,-0.500,0.000
79940,1.121,-0.552,-0.500,0.000
79960,1.005,-0.624,-0.500,0.000
79980,0.969,-0.589,-0.500,0.000
80001,1.159,-0.521,-0.500,0.000
80021,1.420,-0.556,-0.500,0.000
80041,1.085,-0.625,-0.500,0.000
80061,0.901,-0.614,-0.500,0.000
80082,1.095,-0.587,-0.500,0.000
80103,1.051,-0.576,-0.500,0.000
80123,0.975,-0.530,-0.500,0.000
80143,1.055,-0.566,-0.500,0.000
80164,1.160,-0.559,-0.500,0.000
80184,1.200,-0.527,-0.500,0.000
80204,1.230,-0.473,-0.500,0.000
80224,1.278,-0.467,-0.500,0.000
80245,1.181,-0.513,-0.500,0.000
80265,1.045,-0.561,-0.500,0.000
80285,0.894,-0.632,-0.500,0.000
80305,0.816,-0.651,-0.500,0.000
80326,0.999,-0.598,-0.500,0.000
80346,1.103,-0.558,-0.500,0.000
80366,0.956,-0.554,-0.500,0.000
80386,1.066,-0.519,-0.500,0.000
80415,1.204,-0.456,-0.500,0.000
80435,1.333,-0.411,-0.493,0.000
80455,1.223,-0.515,-0.500,0.000
80475,0.932,-0.577,-0.500,0.000
80496,0.973,-0.519,-0.500,0.000
80516,1.057,-0.527,-0.500,0.000
80536,0.869,-0.654,-0.500,0.000
80556,0.885,-0.749,-0.500,0.000
80577,0.688,-0.791,-0.500,0.000
80597,0.519,-0.883,-0.500,0.000
80617,0.830,-0.754,-0.500,0.000
80637,1.114,-0.632,-0.500,0.000
80658,1.058,-0.690,-0.500,0.000
80678,1.016,-0.845,-0.500,0.000
80698,1.056,-0.888,-0.500,0.000
80718,1.191,-0.780,-0.500,0.000
80739,1.036,-0.769,-0.500,0.000
80759,1.079,-0.757,-0.500,0.000
80779,1.119,-0.748,-0.500,0.000
80799,1.366,-1.025,-0.500,0.000
80820,1.209,-0.745,-0.500,0.000
80840,1.250,-0.841,-0.500,0.000
80860,0.936,-1.015,-0.500,0.000
80880,0.740,-0.930,-0.500,0.000
80901,0.747,-0.958,-0.500,0.000
80921,0.888,-0.852,-0.500,0.000
80941,1.147,-0.563,-0.500,0.000
80961,1.041,-0.642,-0.500,0.000
80982,0.679,-0.911,-0.500,0.000
81003,0.866,-0.798,-0.500,0.000
81023,0.908,-0.865,-0.500,0.000
81043,0.981,-0.829,-0.500,0.000
81064,1.016,-0.676,-0.500,0.000
81084,1.040,-0.735,-0.500,0.000
81104,1.321,-0.743,-0.500,0.000
81124,1.088,-0.702,-0.500,0.000
81145,0.895,-0.823,-0.500,0.000
81165,0.809,-0.720,-0.500,0.000
81185,0.869,-0.699,-0.500,0.000
81205,1.020,-0.748,-0.500,0.000
81226,0.996,-0.710,-0.500,0.000
81246,1.113,-0.665,-0.500,0.000
81266,1.185,-0.742,-0.500,0.000
81286,1.187,-0.812,-0.500,0.000
81308,1.160,-0.755,-0.500,0.000
81328,1.140,-0.934,-0.500,0.000
81348,1.255,-0.920,-0.500,0.000
81368,1.423,-0.735,-0.500,0.000
81389,0.864,-0.285,-0.475,0.000
81409,0.914,-0.348,-0.462,0.000
81429,1.404,-0.607,-0.494,0.000
81449,0.606,-0.734,-0.500,0.000
81470,1.046,-0.583,-0.500,0.000
81490,0.904,-0.692,-0.500,0.000
81510,0.986,-0.737,-0.500,0.000
81530,1.036,-0.693,-0.500,0.000
81551,1.341,-0.791,-0.500,0.000
81571,1.351,-0.765,-0.500,0.000
81591,1.116,-0.802,-0.500,0.000
81611,0.912,-0.872,-0.500,0.000
81632,1.037,-0.710,-0.500,0.000
